Senator,Party,District,Terms
W. Ted Alexander,Republican,44,2 ( 0 in House )
Deanna Ballard,Republican,45,3+ ( 0 in House )
Lisa S. Barnes,Republican,11,1 ( 1 in House )
Sydney Batch,Democrat,17,+ ( 1 in House )
Ernestine Bazemore,Democrat,3,1 ( 0 in House )
Phil Berger,Republican,30,11 ( 0 in House )
Dan Blue,Democrat,14,6+ ( 13+ in House )
"Danny Earl Britt, Jr.",Republican,13,3 ( 0 in House )
Jim Burgin,Republican,12,2 ( 0 in House )
Jay J. Chaudhuri,Democrat,15,3+ ( 0 in House )
Ben Clark,Democrat,21,5 ( 0 in House )
Kevin Corbin,Republican,50,1 ( 2 in House )
"David W. Craven, Jr.",Republican,26,1+ ( 0 in House )
Sarah Crawford,Democrat,18,1 ( 0 in House )
Warren Daniel,Republican,46,6 ( 0 in House )
Don Davis,Democrat,5,6 ( 0 in House )
Kirk deViere,Democrat,19,2 ( 0 in House )
Chuck Edwards,Republican,48,3+ ( 0 in House )
"Milton F. ""Toby"" Fitch, Jr.",Democrat,4,2+ ( 8+ in House )
Carl Ford,Republican,33,2 ( 3 in House )
Valerie P. Foushee,Democrat,23,4+ ( + in House )
Amy S. Galey,Republican,24,1 ( 0 in House )
Michael Garrett,Democrat,27,2 ( 0 in House )
Kathy Harrington,Republican,43,6 ( 0 in House )
Ralph Hise,Republican,47,6 ( 0 in House )
Brent Jackson,Republican,10,6 ( 0 in House )
Jeff Jackson,Democrat,37,4+ ( 0 in House )
Steve Jarvis,Republican,29,1 ( 1 in House )
Todd Johnson,Republican,35,2 ( 0 in House )
Joyce Krawiec,Republican,31,4+ ( + in House )
Michael A. Lazzara,Republican,6,1 ( 0 in House )
Michael V. Lee,Republican,9,3+ ( 0 in House )
"Paul A. Lowe, Jr.",Democrat,32,3+ ( 0 in House )
Natasha R. Marcus,Democrat,41,2 ( 0 in House )
Julie Mayfield,Democrat,49,1 ( 0 in House )
Tom McInnis,Republican,25,4 ( 0 in House )
Mujtaba A. Mohammed,Democrat,38,2 ( 0 in House )
Natalie S. Murdock,Democrat,20,1+ ( 0 in House )
Paul Newton,Republican,36,3 ( 0 in House )
Wiley Nickel,Democrat,16,2 ( 0 in House )
Jim Perry,Republican,7,1+ ( 0 in House )
Dean Proctor,Republican,42,1+ ( 0 in House )
Bill Rabon,Republican,8,6 ( 0 in House )
Gladys A. Robinson,Democrat,28,6 ( 0 in House )
DeAndrea Salvador,Democrat,39,1 ( 0 in House )
Norman W. Sanderson,Republican,2,5 ( 1 in House )
Vickie Sawyer,Republican,34,2+ ( 0 in House )
Sam Searcy,Democrat,17,NA
Bob Steinburg,Republican,1,2 ( 3 in House )
Joyce Waddell,Democrat,40,4 ( 0 in House )
Mike Woodard,Democrat,22,5 ( 0 in House )
